ts,asset,dw,regime
2025-12-17T11:00:00+00:00,XRP,0.08,downtrend
2025-12-17T11:00:00+00:00,SOL,0.08,downtrend
2025-12-17T15:00:00+00:00,BNB,0.08,chop
2025-12-17T15:00:00+00:00,BTC,0.08,chop
2025-12-17T15:00:00+00:00,ETH,0.08,chop
2025-12-17T15:00:00+00:00,XRP,0.08,chop
2025-12-17T15:00:00+00:00,SOL,0.08,chop
2025-12-17T23:00:00+00:00,BNB,0.08,downtrend
2025-12-17T23:00:00+00:00,BTC,0.08,downtrend
2025-12-17T23:00:00+00:00,ETH,0.08,downtrend
2025-12-17T23:00:00+00:00,XRP,0.08,downtrend
2025-12-17T23:00:00+00:00,SOL,0.08,downtrend
2025-12-18T15:00:00+00:00,BNB,0.08,chop
2025-12-18T15:00:00+00:00,BTC,0.08,chop
2025-12-18T15:00:00+00:00,ETH,0.08,chop
2025-12-18T15:00:00+00:00,XRP,0.08,chop
2025-12-18T15:00:00+00:00,SOL,0.08,chop
2025-12-22T17:00:00+00:00,BNB,0.08,trend_up
2025-12-22T17:00:00+00:00,BTC,0.08,trend_up
2025-12-22T17:00:00+00:00,ETH,0.08,trend_up
2025-12-22T17:00:00+00:00,XRP,0.08,trend_up
2025-12-22T17:00:00+00:00,SOL,0.08,trend_up
2025-12-22T18:00:00+00:00,BNB,0.08,chop
2025-12-22T18:00:00+00:00,BTC,0.08,chop
2025-12-22T18:00:00+00:00,ETH,0.08,chop
2025-12-22T18:00:00+00:00,XRP,0.08,chop
2025-12-22T18:00:00+00:00,SOL,0.08,chop
2026-01-02T16:00:00+00:00,BTC,0.04,trend_up
2026-01-02T16:00:00+00:00,ETH,0.04,trend_up
2026-01-02T16:00:00+00:00,XRP,0.04,trend_up
2026-01-02T16:00:00+00:00,SOL,0.04,trend_up
2026-01-02T16:00:00+00:00,DOGE,0.04,trend_up
2026-01-02T21:00:00+00:00,BTC,0.04,trend_up
2026-01-02T21:00:00+00:00,ETH,0.04,trend_up
